time,raw_pan,filtered_pan,goal_pan,current_pan,measured_pan,raw_tilt,filtered_tilt,goal_tilt,current_tilt,measured_tilt
0.04651474952697754,-19.8474178314209,-17.821877009006016,-17.821877009006016,-5.307476876516503,-6.158357771260997,0.0,0.0,0.0,0.0,0.0
0.09666895866394043,-19.597808837890625,-18.17706337478294,-17.821877009006016,-5.314042380366043,-6.158357771260997,0.0,0.0,0.0,0.0,0.0
0.1465601921081543,-19.493724822998047,-18.44039566442596,-18.44039566442596,-5.315061237406869,-6.158357771260997,0.0,0.0,0.0,0.0,0.0
0.1976025104522705,-19.537355422973633,-18.659787616135496,-18.44039566442596,-5.321947259333191,-6.158357771260997,0.0,0.0,0.0,0.0,0.0
0.24654483795166016,-21.20374298095703,-19.168578689099803,-19.168578689099803,-5.323022023787464,-6.158357771260997,0.0,0.0,0.0,0.0,0.0
0.29660534858703613,-23.098190307617188,-19.95450101280328,-19.95450101280328,-5.324157707481408,-6.158357771260997,0.0,0.0,0.0,0.0,0.0
0.34645605087280273,-22.642704010009766,-20.492141612244577,-20.492141612244577,-5.325335034257709,-6.158357771260997,0.0,0.0,0.0,0.0,0.0
0.3964970111846924,-24.488481521606445,-21.29140959411695,-21.29140959411695,-5.3265743081921855,-6.158357771260997,0.0,0.0,0.0,0.0,0.0
0.44654250144958496,-25.545867919921875,-22.142301259277936,-22.142301259277936,-5.327879531465547,-6.158357771260997,0.0,0.0,0.0,0.0,0.0
0.49668359756469727,-23.5699520111084,-22.42783140964403,-22.142301259277936,-5.3367009811085975,-6.158357771260997,0.0,0.0,0.0,0.0,0.0
0.5466845035552979,-24.407785415649414,-22.823822210845105,-22.823822210845105,-5.338058317468753,-6.158357771260997,0.0,0.0,0.0,0.0,0.0
0.5966811180114746,-23.47067642211914,-22.953193053099913,-22.823822210845105,-5.347231977327691,-6.158357771260997,0.0,0.0,0.0,0.0,0.0
0.6465268135070801,-22.42123031616211,-22.846800505712352,-22.823822210845105,-5.371155254510577,-6.158357771260997,0.0,0.0,0.0,0.0,0.0
0.6965920925140381,-23.284639358520508,-22.934368276273982,-22.823822210845105,-5.415834765314372,-6.158357771260997,0.0,0.0,0.0,0.0,0.0
0.7465901374816895,-24.46672248840332,-23.24083911869985,-22.823822210845105,-5.486390738835142,-6.158357771260997,0.0,0.0,0.0,0.0,0.0
0.7965559959411621,-24.145973205566406,-23.42186593607316,-23.42186593607316,-5.487782876071571,-6.158357771260997,0.0,0.0,0.0,0.0,0.0
0.8465888500213623,-23.736135482788086,-23.484719845416144,-23.42186593607316,-5.497191740269761,-6.158357771260997,0.0,0.0,0.0,0.0,0.0
